"gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Churn"
"Female",0,"Yes","No",7,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",75.15,496.9,"Yes"
"Male",0,"No","No",52,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",21,1107.2,"No"
"Male",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.2,20.2,"No"
"Male",0,"Yes","Yes",72,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",19.4,1363.25,"No"
"Female",0,"Yes","Yes",64,"No","No phone service","DSL","No","Yes","No","Yes","Yes","Yes","Two year","Yes","Electronic check",54.6,3423.5,"No"
"Female",0,"Yes","Yes",10,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.25,1064.65,"Yes"
"Male",0,"No","No",3,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.4,229.55,"Yes"
"Female",1,"Yes","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",70.45,70.45,"Yes"
"Male",0,"Yes","Yes",62,"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Electronic check",86.1,5215.25,"No"
"Male",0,"Yes","No",69,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",19.9,1363.45,"No"
"Male",0,"Yes","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",89.05,6254.45,"No"
"Female",0,"No","No",32,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Bank transfer (automatic)",20.55,654.55,"No"
"Female",1,"No","No",7,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",76.45,503.6,"Yes"
"Male",0,"No","No",3,"No","No phone service","DSL","No","No","No","Yes","No","No","Month-to-month","No","Electronic check",30.4,82.15,"No"
"Female",0,"Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Two year","No","Credit card (automatic)",109.7,8129.3,"No"
"Male",0,"Yes","Yes",24,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Bank transfer (automatic)",24.1,587.4,"No"
"Male",0,"Yes","Yes",72,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",112.25,8041.65,"No"
"Male",0,"No","No",1,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","No","Electronic check",79.9,79.9,"Yes"
"Male",0,"Yes","No",66,"No","No phone service","DSL","Yes","Yes","Yes","Yes","Yes","No","Two year","Yes","Bank transfer (automatic)",56.6,3789.2,"No"
"Male",0,"No","No",24,"No","No phone service","DSL","Yes","No","No","No","Yes","Yes","One year","Yes","Mailed check",50.6,1288.75,"No"
"Female",0,"Yes","Yes",31,"Yes","No","DSL","Yes","No","Yes","Yes","Yes","Yes","One year","Yes","Mailed check",81.15,2545.75,"No"
"Female",0,"Yes","No",1,"Yes","No","DSL","No","No","No","No","Yes","No","Month-to-month","No","Mailed check",55.2,55.2,"Yes"
"Female",0,"Yes","Yes",47,"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",85.3,4107.25,"No"
"Male",0,"No","No",54,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",108,5760.65,"No"
"Male",0,"No","No",50,"Yes","No","Fiber optic","Yes","Yes","No","Yes","No","Yes","Month-to-month","Yes","Credit card (automatic)",93.5,4747.5,"No"
"Female",0,"No","No",72,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",20.25,1566.9,"No"
"Female",0,"No","No",29,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Electronic check",25.15,702,"No"
"Male",0,"Yes","No",18,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",73.15,1305.95,"No"
"Female",0,"No","No",72,"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",86.6,6350.5,"No"
"Male",0,"No","No",1,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Mailed check",48.55,48.55,"Yes"
"Male",0,"No","Yes",32,"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","One year","No","Credit card (automatic)",83.7,2633.3,"No"
"Male",0,"No","No",10,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Mailed check",19.85,193.05,"No"
"Female",0,"Yes","No",2,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",44.6,80.55,"Yes"
"Male",1,"Yes","No",57,"Yes","Yes","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Electronic check",89.85,4925.35,"No"
"Female",0,"Yes","No",45,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","One year","No","Mailed check",113.3,5032.25,"No"
"Male",0,"No","No",59,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",19.35,1099.6,"Yes"
"Female",0,"No","Yes",1,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",25.4,25.4,"No"
"Male",0,"Yes","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check",70,70,"Yes"
"Male",1,"No","No",8,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",74.5,606.55,"Yes"
"Male",0,"Yes","Yes",40,"Yes","Yes","DSL","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",74.55,3015.75,"No"
"Female",1,"No","No",4,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.45,396.1,"Yes"
"Female",0,"Yes","Yes",68,"No","No phone service","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",60.3,4109,"No"
"Male",1,"Yes","Yes",38,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","No","Electronic check",101.15,3741.85,"No"
"Female",0,"No","No",43,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",115.05,4895.1,"No"
"Female",0,"Yes","Yes",9,"Yes","No","DSL","Yes","No","No","No","No","No","One year","No","Mailed check",48.6,422.3,"No"
"Female",1,"No","No",17,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)",82.65,1470.05,"No"
"Female",0,"Yes","Yes",35,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Mailed check",19.85,739.35,"No"
"Female",0,"No","No",8,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Mailed check",19.2,161.95,"No"
"Female",0,"No","No",68,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",88.15,6148.45,"No"
"Female",0,"Yes","No",71,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",85.75,6223.8,"No"
"Female",1,"No","No",1,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",72.1,72.1,"No"
"Female",1,"Yes","No",64,"Yes","No","Fiber optic","Yes","Yes","Yes","No","No","Yes","One year","No","Bank transfer (automatic)",97,6430.9,"No"
"Female",1,"No","No",7,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",89.15,574.35,"No"
"Male",0,"Yes","Yes",4,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",84.8,371.9,"Yes"
"Female",1,"No","No",21,"No","No phone service","DSL","Yes","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",41.9,840.1,"Yes"
"Female",0,"No","No",10,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",80.25,846,"Yes"
"Male",1,"Yes","No",27,"No","No phone service","DSL","Yes","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",30.75,805.1,"Yes"
"Male",0,"Yes","No",71,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",98.65,6962.85,"No"
"Male",0,"No","Yes",24,"No","No phone service","DSL","Yes","No","No","Yes","No","No","Two year","No","Mailed check",35.75,830.8,"No"
"Male",0,"No","No",1,"No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",25.35,25.35,"No"
"Female",0,"No","No",61,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Electronic check",89.65,5308.7,"No"
"Male",0,"No","No",17,"Yes","Yes","Fiber optic","No","No","Yes","Yes","No","No","One year","No","Electronic check",86.75,1410.25,"No"
"Female",0,"No","No",42,"No","No phone service","DSL","Yes","Yes","Yes","Yes","No","Yes","One year","Yes","Electronic check",54.75,2348.45,"No"
"Male",1,"Yes","Yes",32,"Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Mailed check",93.95,2861.45,"No"
"Male",1,"No","No",3,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",81.35,233.7,"Yes"
"Female",0,"Yes","No",46,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Bank transfer (automatic)",24.45,1066.15,"No"
"Female",0,"Yes","Yes",16,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",73.25,1195.75,"No"
"Female",1,"Yes","No",55,"Yes","Yes","DSL","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",51.65,2838.55,"No"
"Female",0,"Yes","Yes",61,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Mailed check",19.4,1182.55,"Yes"
"Male",0,"Yes","Yes",8,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",94.75,759.55,"No"
"Male",0,"Yes","No",60,"No","No phone service","DSL","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",60.2,3582.4,"No"
"Male",0,"Yes","Yes",28,"Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","No","One year","No","Bank transfer (automatic)",92.9,2768.35,"No"
"Female",0,"Yes","No",24,"Yes","No","DSL","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",69.45,1614.05,"No"
"Male",0,"No","No",70,"No","No phone service","DSL","No","No","No","Yes","No","Yes","Two year","Yes","Mailed check",40.05,2799.75,"No"
"Female",0,"No","Yes",44,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",19.9,868.1,"No"
"Female",0,"Yes","Yes",13,"Yes","No","DSL","No","No","No","No","No","Yes","Month-to-month","No","Electronic check",55.95,734.35,"Yes"
"Male",0,"Yes","Yes",72,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Two year","Yes","Credit card (automatic)",84.5,6130.85,"No"
"Male",0,"No","Yes",1,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.35,74.35,"Yes"
"Female",0,"Yes","No",2,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.4,139.4,"Yes"
"Male",0,"Yes","No",28,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Month-to-month","No","Mailed check",60.9,1785.65,"No"
"Male",0,"No","Yes",11,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Mailed check",78,851.8,"No"
"Female",1,"Yes","No",5,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check",70.05,302.6,"No"
"Male",0,"Yes","Yes",58,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","No","One year","Yes","Credit card (automatic)",94.7,5430.35,"No"
"Female",1,"No","No",56,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","No","Two year","Yes","Bank transfer (automatic)",99.9,5706.3,"No"
"Male",0,"Yes","Yes",70,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",20.05,1360.25,"No"
"Male",1,"Yes","Yes",68,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",107.15,7379.8,"No"
"Female",0,"Yes","No",63,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",81.55,5029.05,"No"
"Female",0,"Yes","Yes",33,"Yes","No","DSL","Yes","Yes","Yes","No","No","No","One year","Yes","Mailed check",58.45,1955.4,"No"
"Male",0,"Yes","Yes",39,"Yes","No","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Mailed check",86.3,3266,"Yes"
"Male",0,"Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",110.3,7966.9,"No"
"Male",0,"No","No",38,"Yes","No","DSL","Yes","Yes","No","Yes","Yes","No","One year","No","Mailed check",70.6,2708.2,"No"
"Male",0,"Yes","No",56,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","One year","Yes","Electronic check",107.25,6033.3,"No"
"Male",0,"Yes","No",3,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Mailed check",23.6,89.05,"No"
"Male",0,"Yes","Yes",59,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Two year","Yes","Credit card (automatic)",99.5,5861.75,"No"
"Male",0,"Yes","Yes",15,"Yes","No","Fiber optic","Yes","No","No","Yes","Yes","Yes","One year","No","Electronic check",101.9,1667.25,"No"
"Male",0,"Yes","Yes",31,"Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","No","One year","No","Bank transfer (automatic)",98.05,3082.1,"No"
"Female",0,"No","No",1,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","No","Mailed check",75.3,75.3,"Yes"
"Male",0,"Yes","Yes",5,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",20.1,85.1,"No"
"Male",0,"Yes","No",72,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",111.9,8071.05,"No"
"Male",0,"No","No",30,"Yes","No","Fiber optic","Yes","Yes","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)",84.3,2438.6,"No"
"Male",0,"No","No",4,"Yes","Yes","DSL","No","No","No","Yes","No","Yes","Month-to-month","No","Mailed check",65.55,237.2,"No"
"Male",0,"Yes","No",65,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Credit card (automatic)",20.4,1414.45,"No"
"Male",0,"No","No",16,"Yes","No","Fiber optic","No","No","No","Yes","No","No","Month-to-month","Yes","Credit card (automatic)",74.55,1170.5,"No"
"Male",0,"Yes","No",72,"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",86.65,6094.25,"No"
"Male",0,"Yes","Yes",38,"Yes","No","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",81,3084.9,"No"
"Female",0,"Yes","Yes",15,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Electronic check",25.25,394.85,"No"
"Female",1,"No","No",2,"Yes","Yes","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","No","Electronic check",89.5,161.5,"Yes"
"Female",0,"No","No",1,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Mailed check",74.6,74.6,"Yes"
"Female",1,"No","No",8,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Electronic check",19.65,164.3,"Yes"
"Male",0,"Yes","Yes",2,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",19.85,35.9,"Yes"
"Female",0,"No","No",10,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",45.25,428.7,"No"
"Female",0,"No","No",4,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",45.65,191.05,"Yes"
"Female",0,"Yes","Yes",53,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Bank transfer (automatic)",19.85,1039.45,"No"
"Female",0,"No","No",2,"No","No phone service","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",34.7,62.25,"Yes"
"Female",0,"No","No",1,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","Yes","Electronic check",49.9,49.9,"No"
"Male",0,"No","Yes",47,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Credit card (automatic)",20.55,1013.05,"No"
"Female",0,"No","No",3,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",75.1,270.7,"Yes"
"Female",1,"No","No",22,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Mailed check",20.05,417,"No"
"Male",0,"No","No",29,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",84.9,2516.2,"No"
"Male",0,"Yes","No",29,"Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)",75.3,2263.4,"No"
"Male",0,"Yes","No",72,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",25.4,1710.9,"No"
"Female",0,"Yes","Yes",4,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",85.95,381.3,"Yes"
"Male",0,"No","No",5,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.35,92.75,"No"
"Female",0,"Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Two year","No","Bank transfer (automatic)",79.05,5730.7,"No"
"Male",1,"Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",114.95,8196.4,"No"
"Male",0,"Yes","Yes",70,"Yes","No","DSL","Yes","Yes","Yes","No","Yes","Yes","Two year","Yes","Credit card (automatic)",80.15,5600.15,"No"
"Male",0,"Yes","Yes",7,"Yes","No","DSL","Yes","No","Yes","Yes","No","Yes","Month-to-month","Yes","Credit card (automatic)",71.35,515.75,"No"
"Female",0,"Yes","No",2,"Yes","No","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","No","Electronic check",90.35,190.5,"No"
"Female",0,"Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","No","No","Two year","Yes","Bank transfer (automatic)",90.35,6563.4,"No"
"Female",0,"No","No",11,"No","No phone service","DSL","No","No","No","No","Yes","No","Month-to-month","Yes","Mailed check",35.8,363.15,"No"
"Male",0,"No","No",11,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Credit card (automatic)",20.45,237.3,"No"
"Female",0,"Yes","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Two year","Yes","Credit card (automatic)",110.65,8065.65,"No"
"Female",0,"Yes","No",59,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","Yes","One year","Yes","Credit card (automatic)",107,6152.3,"No"
"Male",0,"Yes","Yes",71,"Yes","No","DSL","No","Yes","No","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",73.35,5154.5,"No"
"Female",0,"Yes","No",34,"Yes","Yes","DSL","Yes","No","No","Yes","No","No","Month-to-month","Yes","Bank transfer (automatic)",60.85,2003.6,"No"
"Female",0,"Yes","Yes",60,"No","No phone service","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",59.85,3590.2,"No"
"Male",0,"No","No",31,"Yes","Yes","Fiber optic","No","No","No","Yes","No","No","One year","No","Credit card (automatic)",81.7,2548.65,"No"
"Female",0,"Yes","Yes",20,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Bank transfer (automatic)",25.55,507.4,"No"
"Male",0,"No","No",62,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year","Yes","Electronic check",96.75,6125.4,"Yes"
"Male",0,"No","No",18,"Yes","No","DSL","No","No","Yes","Yes","No","No","Month-to-month","No","Credit card (automatic)",55.2,1058.1,"No"
"Female",0,"Yes","No",61,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",106.35,6751.35,"No"
"Female",0,"Yes","Yes",16,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",89.45,1430.25,"Yes"
"Male",0,"Yes","Yes",60,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","No","One year","No","Electronic check",90.95,5453.4,"Yes"
"Female",0,"Yes","Yes",70,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","Yes","One year","No","Credit card (automatic)",74.1,5222.3,"No"
"Male",0,"Yes","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",92,6782.15,"No"
"Female",0,"No","No",5,"Yes","No","DSL","Yes","No","No","Yes","Yes","No","Month-to-month","Yes","Electronic check",64.35,352.65,"No"
"Female",0,"No","No",68,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",20.5,1424.9,"No"
"Male",0,"No","No",1,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Electronic check",50.8,50.8,"Yes"
"Male",1,"No","No",26,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Credit card (automatic)",19.3,504.2,"No"
"Male",0,"Yes","Yes",50,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",103.85,5017.9,"Yes"
"Female",0,"No","No",1,"No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",24.6,24.6,"Yes"
"Female",0,"No","No",12,"Yes","No","Fiber optic","Yes","No","No","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",98.9,1120.95,"Yes"
"Male",0,"Yes","No",50,"Yes","Yes","Fiber optic","Yes","Yes","No","No","No","Yes","Month-to-month","Yes","Credit card (automatic)",94.4,4914.9,"No"
"Male",0,"Yes","Yes",67,"Yes","No","DSL","Yes","Yes","Yes","No","Yes","Yes","Two year","No","Credit card (automatic)",81.35,5398.6,"No"
"Female",0,"No","No",71,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",111.25,7984.15,"No"
"Male",0,"No","No",12,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.45,255.35,"No"
"Male",0,"Yes","No",16,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",75.4,1189.4,"No"
"Female",1,"Yes","No",4,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",83.25,308.05,"No"
"Female",0,"No","No",6,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",79.05,434.5,"Yes"
"Female",1,"Yes","Yes",32,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","No","Month-to-month","Yes","Mailed check",91.35,2896.55,"No"
"Female",0,"Yes","Yes",59,"Yes","No","DSL","No","Yes","No","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",75.95,4542.35,"No"
"Male",0,"Yes","Yes",40,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",19.6,808.95,"No"
"Female",0,"Yes","Yes",72,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",23.75,1679.25,"No"
